etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
BC,-9,28579,89687,habitation,1,130412,136906,2020-03-06,34748,130416
BC,90361,28571,89687,villa,1,28571,134666,2020-09-10,4099,28569
BC,90361,28571,89687,villa,1,28565,134666,2020-09-10,4099,28569
BC,122346,28614,89694,habitation,1,130412,133081,2019-07-04,62000,\N
BC,-9,130392,89672,villa,1,130392,130418,2020-02-26,\N,\N
Perdus,-9,130407,101185,villa,1,-9,130419,2020-09-10,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2021-02-13,514,\N
Perdus,126948,130412,89694,bureautique,1,130412,136906,2020-07-27,\N,\N
Perdus,145376,122055,89674,mixte,1,130412,133081,2020-07-14,3,\N
BC,-9,108905,89684,siege administratif,1,108905,115745,2020-10-28,17768,108905
Perdus,90542,28609,89676,Prison,3,28577,115745,2019-01-22,\N,\N
Perdus,-9,28609,89684,usine,2,28577,115746,2019-06-03,20353,\N
Perdus,-9,28609,89684,usine,2,28620,115746,2019-06-03,20353,\N
Perdus,-9,155904,89691,tribunal,3,122027,115744,2020-07-23,0,108904
BC,90361,28571,89687,villa,1,158625,134667,2020-02-24,22168,28569
Perdus,-9,122027,89694,commercial,5,28579,115744,2019-12-02,275470,\N
Perdus,-9,122027,89694,commercial,5,122027,115744,2019-12-02,275470,\N
Perdus,136234,130407,89694,villa,1,130407,130419,2020-02-25,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-05-16,\N,\N
BC,95833,28576,89685,villa,1,28576,134667,2020-12-01,16262,162366
Perdus,139427,130410,89694,villa,5,130410,130418,2020-02-10,\N,\N
Perdus,-9,140993,89685,villa,1,140993,115744,2020-11-09,37275,140993
Perdus,138967,130410,89694,villa,2,108904,115744,2020-04-10,74996,\N
Perdus,138967,130410,89694,villa,2,122027,115744,2020-04-10,74996,\N
Perdus,138967,130410,89694,villa,2,28619,115744,2020-04-10,74996,\N
Perdus,89825,28576,89688,villa,1,28576,134667,2020-06-22,21265,162366
BC,-9,130411,101185,villa,1,130411,136907,2020-09-29,1700,130411
Perdus,122629,28571,89694,habitation,1,28571,115742,2020-01-07,130166,\N
Perdus,140678,122018,140671,usine,1,122018,115744,2020-05-29,34472,\N
Perdus,140678,122018,140671,usine,1,108904,115744,2020-05-29,34472,\N
Perdus,-9,28609,89683,maison de jeune,1,28577,115746,2020-07-16,14010,\N
Perdus,136722,130410,89694,villa,3,130410,133119,2020-03-02,\N,\N
BC,176547,130410,89694,villa,5,130410,130418,2020-11-07,2313,\N
Perdus,126784,28576,89688,villa,1,108904,115744,2020-03-14,87596,\N
Perdus,126784,28576,89688,villa,1,28619,115744,2020-03-14,87596,\N
Perdus,-9,140993,89672,villa,1,122027,115744,2020-10-19,44072,142832
Perdus,144677,130412,89674,habitation,1,93623,115742,2020-06-25,23668,\N
BC,191463,130410,89672,villa,5,130410,133119,2021-02-06,9215,\N
BC,137263,130410,89694,villa,5,130410,130419,2020-03-06,6361,\N
Perdus,155565,130590,89694,villa,1,130590,130419,2020-09-05,2660,\N
Perdus,155565,130590,89694,villa,1,130407,130419,2020-09-05,2660,\N
Perdus,138304,108905,89686,habitation,1,28570,115741,2020-01-02,120042,\N
BC,142125,136898,89672,villa,1,136898,115743,2020-06-10,4420,\N
BC,183883,130410,89694,villa,5,-9,133119,2020-12-19,2701,\N
Perdus,142270,108905,89694,habitation,1,108905,115745,2019-12-25,\N,\N
Perdus,142270,108905,89694,habitation,1,133385,115745,2019-12-25,\N,\N
Perdus,-9,130407,101185,PARTICULIER,1,130407,130419,2020-08-05,\N,\N
BC,-9,150300,89692,MACHINERIE,1,150300,150305,2020-10-14,55520,\N
Perdus,93575,28576,89688,villa,1,28576,115743,2020-05-28,2260,162366
BC,134728,108905,89684,station de services,1,-9,115745,2020-11-12,7364,\N
Perdus,90373,28571,89694,villa,1,142540,115743,2020-09-09,3443,28569
Perdus,-9,130411,101185,villa,1,130411,130418,2020-10-07,1637,130411
BC,-9,130392,101185,villa,1,122560,130418,2020-05-04,1461,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-05-04,1461,\N
BC,179144,130410,89672,villa,5,130410,136907,2020-11-21,645,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-06-05,\N,\N
Perdus,-9,130590,101185,villa,1,-9,130419,2020-09-09,\N,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-08-19,13907,\N
Perdus,127843,130412,89691,habitation,1,130412,133081,2020-02-10,75002,\N
Perdus,133078,130392,89672,villa,1,28575,134666,2020-01-01,8890,\N
Perdus,133078,130392,89672,villa,1,136898,134666,2020-01-01,8890,\N
Perdus,-9,108905,89676,centre de loisir,1,133385,115745,2019-10-17,8039,\N
Perdus,154059,130412,89694,habitation,1,130412,133080,2020-09-01,44000,\N
BC,-9,122018,89694,villa,1,122018,115744,2021-02-09,6902,108904
BC,-9,130409,101185,villa,1,130409,130418,2020-11-12,8000,\N
Perdus,140707,28609,89691,ecole privee,1,122027,115744,2020-04-30,142108,108904
Perdus,138865,108904,89694,villa,1,122027,115744,2020-01-03,16598,\N
Perdus,138865,108904,89694,villa,1,108904,115744,2020-01-03,16598,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-10-02,7336,\N
Perdus,143600,122018,89694,villa,1,122027,115744,2020-01-02,54548,\N
Perdus,143600,122018,89694,villa,1,108904,115744,2020-01-02,54548,\N
BC,-9,142567,89694,villa,1,142567,115743,2020-08-08,18322,28569
BC,-9,130411,101185,villa,1,130411,136907,2020-08-27,\N,\N
BC,-9,130392,89672,villa,1,130392,130418,2020-01-18,827,\N
Perdus,-9,130409,101185,villa,1,130409,130418,2020-09-03,1700,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-05-15,\N,\N
